7,110,10
4,96,3
3,103,10
2,59,10
6,142,10
2,99,4
5,145,2
5,105,8
2,138,10
2,141,10
6,96,10
4,150,10
7,124,3
8,65,2
3,101,6
6,123,9
7,77,10
4,82,4
4,140,9
6,133,10
9,61,9
5,120,10
7,99,9
6,115,10
1,54,10
4,127,6
8,136,7
3,101,10
5,85,3
2,57,3
5,108,8
9,80,5
1,54,10
3,102,10
3,125,10
7,97,5
5,112,10
8,55,10
7,78,10
3,115,6
8,112,1
3,120,10
9,127,10
6,55,10
6,97,10
7,114,10
9,119,10
5,118,10
3,117,1
6,76,10
4,73,10
5,54,10
2,138,10
9,128,10
9,59,10
1,130,9
2,95,10
4,101,4
2,62,10
6,116,5
6,120,10
2,74,10
7,73,9
3,55,5
5,135,1
9,118,10
2,84,10
9,84,4
7,77,3
2,54,10
5,63,10
7,59,8
3,133,4
8,63,10
8,75,2
1,74,10
3,128,10
6,101,8
1,116,10
8,55,10
9,141,10
3,123,7
7,65,4
2,56,2
6,97,6
9,140,10
9,80,8
4,123,10
6,70,10
7,113,10
4,53,10
5,90,2
4,76,10
2,69,10
2,72,10
4,119,10
2,133,5
3,118,10
7,114,8
8,127,10
1,134,10
7,97,10
4,149,10
1,88,10
6,69,10
5,52,10
8,103,10
9,80,10
2,72,10
5,89,10
3,77,10
3,101,10
2,146,10
2,58,10
4,118,9
8,82,10
2,61,6
6,64,10
4,90,10
8,88,10
7,148,3
2,65,5
4,60,10
2,109,10
1,82,6
3,93,10
1,119,4
3,132,5
9,59,10
4,139,3
9,57,10
3,102,10
7,62,10
8,95,8
2,76,10
8,139,10
1,51,3
9,104,10
5,119,10
8,144,1
4,134,3
8,124,9
2,108,10
5,144,1
2,128,10
4,87,10
6,78,1
3,109,6
6,68,5
7,83,4
4,73,10
4,104,10
7,125,5
6,83,10
5,143,10
2,136,10
7,86,10
6,115,10
2,149,2
9,79,10
8,58,1
5,145,6
1,63,10
6,58,10
6,58,2
5,74,10
5,73,7
6,102,10
2,80,10
6,94,10
7,67,10
2,111,4
9,101,10
5,92,10
3,142,10
3,56,8
1,78,6
6,100,10
9,132,6
3,120,10
4,103,10
6,127,10
5,104,10
2,140,10
4,68,10
6,60,10
8,134,10
3,60,10
1,147,8
1,112,10
4,122,10
6,123,7
7,74,10
6,63,10
9,51,6
4,141,10
9,129,10
9,132,10
6,94,10
9,120,10
8,83,3
2,60,9
9,135,10
2,91,8
5,75,10
4,62,8
6,100,10
8,134,10
4,125,9
5,58,10
2,104,10
9,131,3
1,133,10
1,134,10
2,82,3
7,78,10
7,137,10
2,112,7
8,109,8
4,83,10
8,110,9
7,74,10
5,90,10
4,52,10
5,146,1
2,78,8
8,121,10
9,142,10
4,72,10
2,150,6
9,117,10
1,89,3
9,57,7
6,132,6
1,51,8
3,138,10
4,105,2
4,146,10
7,60,10
2,57,5
9,124,10
5,76,10
8,93,9
2,66,10
3,79,10
5,125,8
1,64,10
8,128,10
9,130,10
4,119,10
5,80,10
4,140,10
4,99,10
